Id,SuggestionType,Content,Probability,KeeperNotes,IsActive,DisplayOrder,CreatedAt,UpdatedAt,CheckRequirementId
1,探索,檢查航海日誌尋找異常記載,0.8,"航海日誌中可能有關鍵日期與名字。",True,1,2025-12-27,2025-12-27,1
2,互動,與守塔人交談試探其反應,0.6,"守塔人可能隱瞞真相或攻擊，根據玩家提問而有所反應。",True,2,2025-12-27,2025-12-27,
3,對抗,阻止正在進行的儀式,0.5,"若玩家嘗試破壞祭壇，儀式會觸發防衛機制或幻象。",True,3,2025-12-27,2025-12-27,2
4,撤退,當場景過於危險時安全撤離至高處或船上,0.4,"建議設置逃生路線與時間窗口，讓玩家有選擇。",True,4,2025-12-27,2025-12-27,
5,細查,檢視祭壇符文與排列順序,0.6,"成功可找到弱點或中斷儀式的線索。建議使用 `神秘學` 或 `偵查` 檢定。",True,5,2025-12-27,2025-12-27,2
6,封鎖,封鎖燈塔出口並觀察守塔人反應,0.4,"可防止增援或截斷逃跑路線，增加戰術選擇。",True,6,2025-12-27,2025-12-27,
7,觀測,在屋頂使用望遠觀察海面和燈塔四周,0.7,"成功可獲得遠方光點方向或海面異常的時間窗口。",True,7,2025-12-27,2025-12-27,1
8,調查,在漁村仔細搜尋遺物並訪問倖存者,0.6,"可能找到地圖碎片或得知過去事件的線索。",True,8,2025-12-27,2025-12-27,1
9,時間管理,密切注意潮汐時間並安排退路,0.5,"失敗可能導致被潮水困住，建議攜帶繩索與照明設備。",True,9,2025-12-27,2025-12-27,1
10,潛入,小心探索沉船暗艙並保護發現物,0.5,"建議兩人同行並留意坍塌或守護現象。成功可取得護符或儀式工具。",True,10,2025-12-27,2025-12-27,2
